date,hour,location_id,location,latitude,longitude,temperature,humidity,wind_speed,day_of_week,month,is_weekend,is_rush_hour,season_encoded,lag_pm25_1h,lag_pm25_24h,lag_pm25_48h,rolling_mean_24h,rolling_mean_7d,temp_humidity,pm25,aqi,risk_level,risk_label,next_day_aqi
2023-01-02,6,7802,Colombo,6.909445,79.875341,27.72,75.09,4.27,0,1,0,0,0,25.0,34.0,,34.333333333333336,34.32,20.814948,30.0,89,1,Moderate,82.0
2023-01-02,7,7802,Colombo,6.909445,79.875341,28.22,75.6,4.42,0,1,0,1,0,30.0,36.0,,34.541666666666664,34.57692307692308,21.334319999999998,41.0,115,2,Unhealthy (Sensitive),95.0
2023-01-02,8,7802,Colombo,6.909445,79.875341,28.62,73.8,4.13,0,1,0,1,0,41.0,42.0,,35.083333333333336,35.333333333333336,21.12156,55.0,149,2,Unhealthy (Sensitive),117.0
2023-01-02,9,7802,Colombo,6.909445,79.875341,28.48,71.17,2.91,0,1,0,1,0,55.0,38.0,,35.125,35.464285714285715,20.269216,39.0,110,2,Unhealthy (Sensitive),112.0
2023-01-02,10,7802,Colombo,6.909445,79.875341,29.21,70.19,3.12,0,1,0,0,0,39.0,48.0,,34.583333333333336,35.44827586206897,20.502498999999997,35.0,99,1,Moderate,124.0
2023-01-02,11,7802,Colombo,6.909445,79.875341,29.0,69.15,2.91,0,1,0,0,0,35.0,41.0,,34.583333333333336,35.63333333333333,20.0535,41.0,115,2,Unhealthy (Sensitive),119.0
2023-01-02,12,7802,Colombo,6.909445,79.875341,28.93,68.78,3.34,0,1,0,0,0,41.0,28.0,,34.708333333333336,35.483870967741936,19.898054,31.0,91,1,Moderate,107.0
2023-01-02,13,7802,Colombo,6.909445,79.875341,29.01,70.54,3.43,0,1,0,0,0,31.0,24.0,,34.791666666666664,35.1875,20.463654000000005,26.0,80,1,Moderate,80.0
2023-01-02,14,7802,Colombo,6.909445,79.875341,29.73,68.18,2.93,0,1,0,0,0,26.0,19.0,,35.5,35.21212121212121,20.269914000000004,36.0,102,2,Unhealthy (Sensitive),89.0
2023-01-02,15,7802,Colombo,6.909445,79.875341,29.05,68.43,4.09,0,1,0,0,0,36.0,23.0,,35.791666666666664,35.05882352941177,19.878915000000003,30.0,89,1,Moderate,82.0
2023-01-02,16,7802,Colombo,6.909445,79.875341,29.3,71.52,2.88,0,1,0,0,0,30.0,23.0,,36.166666666666664,34.97142857142857,20.95536,32.0,93,1,Moderate,84.0
2023-01-02,17,7802,Colombo,6.909445,79.875341,27.18,76.06,2.82,0,1,0,1,0,32.0,29.0,,36.25,34.861111111111114,20.673108000000003,31.0,91,1,Moderate,82.0
2023-01-02,18,7802,Colombo,6.909445,79.875341,27.13,72.94,3.49,0,1,0,1,0,31.0,25.0,,36.833333333333336,34.972972972972975,19.788621999999997,39.0,110,2,Unhealthy (Sensitive),102.0
2023-01-02,19,7802,Colombo,6.909445,79.875341,26.68,78.92,2.9,0,1,0,1,0,39.0,41.0,,36.208333333333336,34.73684210526316,21.055856,26.0,80,1,Moderate,147.0
2023-01-02,20,7802,Colombo,6.909445,79.875341,26.79,80.23,3.75,0,1,0,0,0,26.0,45.0,,36.333333333333336,35.07692307692308,21.493617,48.0,132,2,Unhealthy (Sensitive),153.0
2023-01-02,21,7802,Colombo,6.909445,79.875341,25.34,77.52,2.98,0,1,0,0,0,48.0,53.0,,35.958333333333336,35.3,19.643568,44.0,122,2,Unhealthy (Sensitive),127.0
2023-01-02,22,7802,Colombo,6.909445,79.875341,25.62,83.05,3.85,0,1,0,0,0,44.0,48.0,,35.708333333333336,35.46341463414634,21.27741,42.0,117,2,Unhealthy (Sensitive),112.0
2023-01-02,23,7802,Colombo,6.909445,79.875341,25.46,76.99,2.81,0,1,0,0,0,42.0,58.0,,34.875,35.523809523809526,19.601654,38.0,107,2,Unhealthy (Sensitive),115.0
2023-01-03,0,7802,Colombo,6.909445,79.875341,25.91,81.19,3.28,1,1,0,0,0,38.0,42.0,,34.416666666666664,35.41860465116279,21.036329000000002,31.0,91,1,Moderate,102.0
2023-01-03,1,7802,Colombo,6.909445,79.875341,24.63,80.51,3.6,1,1,0,0,0,31.0,36.0,,34.125,35.27272727272727,19.829613,29.0,87,1,Moderate,91.0
2023-01-03,2,7802,Colombo,6.909445,79.875341,25.44,80.64,2.86,1,1,0,0,0,29.0,24.0,,34.416666666666664,35.17777777777778,20.514816,31.0,91,1,Moderate,87.0
