datetime,date,hour,temperature,humidity,wind_speed,month,season
2023-01-01T00:00:00+05:30,2023-01-01,0,26.29,83.01,2.93,1,Northeast Monsoon
2023-01-01T01:00:00+05:30,2023-01-01,1,25.15,83.48,2.98,1,Northeast Monsoon
2023-01-01T02:00:00+05:30,2023-01-01,2,25.07,77.74,2.88,1,Northeast Monsoon
2023-01-01T03:00:00+05:30,2023-01-01,3,25.4,80.51,3.13,1,Northeast Monsoon
2023-01-01T04:00:00+05:30,2023-01-01,4,27.04,81.53,2.87,1,Northeast Monsoon
2023-01-01T05:00:00+05:30,2023-01-01,5,27.3,78.14,2.82,1,Northeast Monsoon
2023-01-01T06:00:00+05:30,2023-01-01,6,26.67,74.58,3.04,1,Northeast Monsoon
2023-01-01T07:00:00+05:30,2023-01-01,7,27.39,73.39,2.9,1,Northeast Monsoon
2023-01-01T08:00:00+05:30,2023-01-01,8,28.27,74.58,3.2,1,Northeast Monsoon
2023-01-01T09:00:00+05:30,2023-01-01,9,28.95,70.79,2.94,1,Northeast Monsoon
2023-01-01T10:00:00+05:30,2023-01-01,10,29.41,72.23,3.09,1,Northeast Monsoon
2023-01-01T11:00:00+05:30,2023-01-01,11,29.44,69.58,3.16,1,Northeast Monsoon
2023-01-01T12:00:00+05:30,2023-01-01,12,29.33,67.65,3.18,1,Northeast Monsoon
2023-01-01T13:00:00+05:30,2023-01-01,13,29.06,66.4,3.12,1,Northeast Monsoon
2023-01-01T14:00:00+05:30,2023-01-01,14,29.36,67.18,3.07,1,Northeast Monsoon
2023-01-01T15:00:00+05:30,2023-01-01,15,28.41,71.86,2.95,1,Northeast Monsoon
2023-01-01T16:00:00+05:30,2023-01-01,16,29.08,73.24,2.96,1,Northeast Monsoon
2023-01-01T17:00:00+05:30,2023-01-01,17,28.3,74.47,2.83,1,Northeast Monsoon
2023-01-01T18:00:00+05:30,2023-01-01,18,27.0,73.39,4.39,1,Northeast Monsoon
2023-01-01T19:00:00+05:30,2023-01-01,19,26.03,77.38,2.85,1,Northeast Monsoon
2023-01-01T20:00:00+05:30,2023-01-01,20,25.82,77.86,3.16,1,Northeast Monsoon
2023-01-01T21:00:00+05:30,2023-01-01,21,26.05,77.14,3.22,1,Northeast Monsoon
2023-01-01T22:00:00+05:30,2023-01-01,22,26.02,83.0,3.14,1,Northeast Monsoon
2023-01-01T23:00:00+05:30,2023-01-01,23,26.18,81.12,2.81,1,Northeast Monsoon
2023-01-02T00:00:00+05:30,2023-01-02,0,25.34,79.23,2.96,1,Northeast Monsoon
2023-01-02T01:00:00+05:30,2023-01-02,1,24.71,78.96,4.43,1,Northeast Monsoon
2023-01-02T02:00:00+05:30,2023-01-02,2,25.86,82.15,5.19,1,Northeast Monsoon
2023-01-02T03:00:00+05:30,2023-01-02,3,25.25,75.28,3.26,1,Northeast Monsoon
2023-01-02T04:00:00+05:30,2023-01-02,4,27.23,75.73,3.14,1,Northeast Monsoon
2023-01-02T05:00:00+05:30,2023-01-02,5,25.61,77.88,3.13,1,Northeast Monsoon
2023-01-02T06:00:00+05:30,2023-01-02,6,27.72,75.09,4.27,1,Northeast Monsoon
2023-01-02T07:00:00+05:30,2023-01-02,7,28.22,75.6,4.42,1,Northeast Monsoon
2023-01-02T08:00:00+05:30,2023-01-02,8,28.62,73.8,4.13,1,Northeast Monsoon
2023-01-02T09:00:00+05:30,2023-01-02,9,28.48,71.17,2.91,1,Northeast Monsoon
2023-01-02T10:00:00+05:30,2023-01-02,10,29.21,70.19,3.12,1,Northeast Monsoon
2023-01-02T11:00:00+05:30,2023-01-02,11,29.0,69.15,2.91,1,Northeast Monsoon
2023-01-02T12:00:00+05:30,2023-01-02,12,28.93,68.78,3.34,1,Northeast Monsoon
2023-01-02T13:00:00+05:30,2023-01-02,13,29.01,70.54,3.43,1,Northeast Monsoon
2023-01-02T14:00:00+05:30,2023-01-02,14,29.73,68.18,2.93,1,Northeast Monsoon
2023-01-02T15:00:00+05:30,2023-01-02,15,29.05,68.43,4.09,1,Northeast Monsoon
2023-01-02T16:00:00+05:30,2023-01-02,16,29.3,71.52,2.88,1,Northeast Monsoon
2023-01-02T17:00:00+05:30,2023-01-02,17,27.18,76.06,2.82,1,Northeast Monsoon
2023-01-02T18:00:00+05:30,2023-01-02,18,27.13,72.94,3.49,1,Northeast Monsoon
2023-01-02T19:00:00+05:30,2023-01-02,19,26.68,78.92,2.9,1,Northeast Monsoon
2023-01-02T20:00:00+05:30,2023-01-02,20,26.79,80.23,3.75,1,Northeast Monsoon
2023-01-02T21:00:00+05:30,2023-01-02,21,25.34,77.52,2.98,1,Northeast Monsoon
2023-01-02T22:00:00+05:30,2023-01-02,22,25.62,83.05,3.85,1,Northeast Monsoon
2023-01-02T23:00:00+05:30,2023-01-02,23,25.46,76.99,2.81,1,Northeast Monsoon
2023-01-03T00:00:00+05:30,2023-01-03,0,25.91,81.19,3.28,1,Northeast Monsoon
2023-01-03T01:00:00+05:30,2023-01-03,1,24.63,80.51,3.6,1,Northeast Monsoon
2023-01-03T02:00:00+05:30,2023-01-03,2,25.44,80.64,2.86,1,Northeast Monsoon
2023-01-03T03:00:00+05:30,2023-01-03,3,25.22,77.84,2.8,1,Northeast Monsoon
2023-01-03T04:00:00+05:30,2023-01-03,4,26.53,76.42,3.1,1,Northeast Monsoon
2023-01-03T05:00:00+05:30,2023-01-03,5,26.82,80.84,3.13,1,Northeast Monsoon
2023-01-03T06:00:00+05:30,2023-01-03,6,27.65,78.58,3.19,1,Northeast Monsoon
2023-01-03T07:00:00+05:30,2023-01-03,7,27.84,75.71,2.8,1,Northeast Monsoon
2023-01-03T08:00:00+05:30,2023-01-03,8,28.65,70.31,2.86,1,Northeast Monsoon
2023-01-03T09:00:00+05:30,2023-01-03,9,28.47,71.45,3.12,1,Northeast Monsoon
2023-01-03T10:00:00+05:30,2023-01-03,10,28.74,71.07,3.33,1,Northeast Monsoon
2023-01-03T11:00:00+05:30,2023-01-03,11,29.23,69.86,2.85,1,Northeast Monsoon
2023-01-03T12:00:00+05:30,2023-01-03,12,30.08,68.01,3.01,1,Northeast Monsoon
2023-01-03T13:00:00+05:30,2023-01-03,13,30.38,66.04,3.22,1,Northeast Monsoon
2023-01-03T14:00:00+05:30,2023-01-03,14,29.96,71.75,3.6,1,Northeast Monsoon
2023-01-03T15:00:00+05:30,2023-01-03,15,28.69,68.42,3.38,1,Northeast Monsoon
2023-01-03T16:00:00+05:30,2023-01-03,16,28.88,71.95,3.38,1,Northeast Monsoon
